1,0,0,-190526,190526,-1522,-6657,7357,0,0,0,1
2,500,34416,-205388,170972,-195,-7324,6775,0,0,0,1
3,1000,67984,-215192,147209,1137,-7811,6026,0,0,0,1
4,1500,99878,-219698,119821,2441,-8105,5129,0,0,0,1
5,2000,129313,-218795,89482,3684,-8200,4105,0,0,0,1
6,2500,155563,-212504,56940,4837,-8093,2981,0,0,0,1
7,3000,177984,-200980,22996,5871,-7787,1783,0,0,0,1
8,3500,196021,-184508,-11514,6760,-7289,541,0,0,0,1
9,4000,209232,-163492,-45741,7483,-6611,-715,0,0,0,1
10,4500,217291,-138450,-78841,8022,-5771,-1952,0,0,0,1
11,5000,220000,-110000,-110000,8363,-4788,-3142,0,0,0,1
12,5500,217291,-78841,-138450,8498,-3688,-4254,0,0,0,1
13,6000,209232,-45741,-163492,8424,-2497,-5262,0,0,0,1
14,6500,196021,-11514,-184508,8142,-1245,-6140,0,0,0,1
15,7000,177984,22996,-200980,7660,39,-6866,0,0,0,1
16,7500,155563,56940,-212504,6989,1321,-7424,0,0,0,1
17,8000,129313,89482,-218795,6147,2571,-7799,0,0,0,1
18,8500,99878,119821,-219698,5152,3757,-7982,0,0,0,1
19,9000,67984,147209,-215192,4031,4851,-7968,0,0,0,1
20,9500,34416,170972,-205388,2811,5826,-7758,0,0,0,1
21,10000,0,190526,-190526,1522,6657,-7357,0,0,0,1
22,10500,-34416,205388,-170972,195,7324,-6775,0,0,0,1
23,11000,-67984,215192,-147209,-1137,7811,-6026,0,0,0,1
24,11500,-99878,219698,-119821,-2441,8105,-5129,0,0,0,1
25,12000,-129313,218795,-89482,-3684,8200,-4105,0,0,0,1
26,12500,-155563,212504,-56940,-4837,8093,-2981,0,0,0,1
27,13000,-177984,200980,-22996,-5871,7787,-1783,0,0,0,1
28,13500,-196021,184508,11514,-6760,7289,-541,0,0,0,1
29,14000,-209232,163492,45741,-7483,6611,715,0,0,0,1
30,14500,-217291,138450,78841,-8022,5771,1952,0,0,0,1
31,15000,-220000,110000,110000,-8363,4788,3142,0,0,0,1
32,15500,-217291,78841,138450,-8498,3688,4254,0,0,0,1
33,16000,-209232,45741,163492,-8424,2497,5262,0,0,0,1
34,16500,-196021,11514,184508,-8142,1245,6140,0,0,0,1
35,17000,-177984,-22996,200980,-7660,-39,6866,0,0,0,1
36,17500,-155563,-56940,212504,-6989,-1321,7424,0,0,0,1
37,18000,-129313,-89482,218795,-6147,-2571,7799,0,0,0,1
38,18500,-99878,-119821,219698,-5152,-3757,7982,0,0,0,1
39,19000,-67984,-147209,215192,-4031,-4851,7968,0,0,0,1
40,19500,-34416,-170972,205388,-2811,-5826,7758,0,0,0,1
41,20000,0,-190526,190526,-1522,-6657,7357,0,0,0,1
42,20500,34416,-205388,170972,-195,-7324,6775,0,0,0,1
43,21000,67984,-215192,147209,1137,-7811,6026,0,0,0,1
44,21500,99878,-219698,119821,2441,-8105,5129,0,0,0,1
45,22000,129313,-218795,89482,3684,-8200,4105,0,0,0,1
46,22500,155563,-212504,56940,4837,-8093,2981,0,0,0,1
47,23000,177984,-200980,22996,5871,-7787,1783,0,0,0,1
48,23500,196021,-184508,-11514,6760,-7289,541,0,0,0,1
49,24000,209232,-163492,-45741,7483,-6611,-715,0,0,0,1
50,24500,217291,-138450,-78841,8022,-5771,-1952,0,0,0,1
51,25000,220000,-110000,-110000,8363,-4788,-3142,0,0,0,1
52,25500,217291,-78841,-138450,8498,-3688,-4254,0,0,0,1
53,26000,209232,-45741,-163492,8424,-2497,-5262,0,0,0,1
54,26500,196021,-11514,-184508,8142,-1245,-6140,0,0,0,1
55,27000,177984,22996,-200980,7660,39,-6866,0,0,0,1
56,27500,155563,56940,-212504,6989,1321,-7424,0,0,0,1
57,28000,129313,89482,-218795,6147,2571,-7799,0,0,0,1
58,28500,99878,119821,-219698,5152,3757,-7982,0,0,0,1
59,29000,67984,147209,-215192,4031,4851,-7968,0,0,0,1
60,29500,34416,170972,-205388,2811,5826,-7758,0,0,0,1
61,30000,0,190526,-190526,1522,6657,-7357,0,0,0,1
62,30500,-34416,205388,-170972,195,7324,-6775,0,0,0,1
63,31000,-67984,215192,-147209,-1137,7811,-6026,0,0,0,1
64,31500,-99878,219698,-119821,-2441,8105,-5129,0,0,0,1
65,32000,-129313,218795,-89482,-3684,8200,-4105,0,0,0,1
66,32500,-155563,212504,-56940,-4837,8093,-2981,0,0,0,1
67,33000,-177984,200980,-22996,-5871,7787,-1783,0,0,0,1
68,33500,-196021,184508,11514,-6760,7289,-541,0,0,0,1
69,34000,-209232,163492,45741,-7483,6611,715,0,0,0,1
70,34500,-217291,138450,78841,-8022,5771,1952,0,0,0,1
71,35000,-220000,110000,110000,-8363,4788,3142,0,0,0,1
72,35500,-217291,78841,138450,-8498,3688,4254,0,0,0,1
73,36000,-209232,45741,163492,-8424,2497,5262,0,0,0,1
74,36500,-196021,11514,184508,-8142,1245,6140,0,0,0,1
75,37000,-177984,-22996,200980,-7660,-39,6866,0,0,0,1
76,37500,-155563,-56940,212504,-6989,-1321,7424,0,0,0,1
77,38000,-129313,-89482,218795,-6147,-2571,7799,0,0,0,1
78,38500,-99878,-119821,219698,-5152,-3757,7982,0,0,0,1
79,39000,-67984,-147209,215192,-4031,-4851,7968,0,0,0,1
80,39500,-34416,-170972,205388,-2811,-5826,7758,0,0,0,1
81,40000,0,-190526,190526,-1522,-6657,7357,0,0,0,1
82,40500,34416,-205388,170972,-195,-7324,6775,0,0,0,1
83,41000,67984,-215192,147209,1137,-7811,6026,0,0,0,1
84,41500,99878,-219698,119821,2441,-8105,5129,0,0,0,1
85,42000,129313,-218795,89482,3684,-8200,4105,0,0,0,1
86,42500,155563,-212504,56940,4837,-8093,2981,0,0,0,1
87,43000,177984,-200980,22996,5871,-7787,1783,0,0,0,1
88,43500,196021,-184508,-11514,6760,-7289,541,0,0,0,1
89,44000,209232,-163492,-45741,7483,-6611,-715,0,0,0,1
90,44500,217291,-138450,-78841,8022,-5771,-1952,0,0,0,1
91,45000,220000,-110000,-110000,8363,-4788,-3142,0,0,0,1
92,45500,217291,-78841,-138450,8498,-3688,-4254,0,0,0,1
93,46000,209232,-45741,-163492,8424,-2497,-5262,0,0,0,1
94,46500,196021,-11514,-184508,8142,-1245,-6140,0,0,0,1
95,47000,177984,22996,-200980,7660,39,-6866,0,0,0,1
96,47500,155563,56940,-212504,6989,1321,-7424,0,0,0,1
97,48000,129313,89482,-218795,6147,2571,-7799,0,0,0,1
98,48500,99878,119821,-219698,5152,3757,-7982,0,0,0,1
99,49000,67984,147209,-215192,4031,4851,-7968,0,0,0,1
100,49500,34416,170972,-205388,2811,5826,-7758,0,0,0,1
101,50000,0,190526,-190526,1522,6657,-7357,0,0,0,1
102,50500,-34416,205388,-170972,195,7324,-6775,0,0,0,1
103,51000,-67984,215192,-147209,-1137,7811,-6026,0,0,0,1
104,51500,-99878,219698,-119821,-2441,8105,-5129,0,0,0,1
105,52000,-129313,218795,-89482,-3684,8200,-4105,0,0,0,1
106,52500,-155563,212504,-56940,-4837,8093,-2981,0,0,0,1
107,53000,-177984,200980,-22996,-5871,7787,-1783,0,0,0,1
108,53500,-196021,184508,11514,-6760,7289,-541,0,0,0,1
109,54000,-209232,163492,45741,-7483,6611,715,0,0,0,1
110,54500,-217291,138450,78841,-8022,5771,1952,0,0,0,1
111,55000,-220000,110000,110000,-8363,4788,3142,0,0,0,1
112,55500,-217291,78841,138450,-8498,3688,4254,0,0,0,1
113,56000,-209232,45741,163492,-8424,2497,5262,0,0,0,1
114,56500,-196021,11514,184508,-8142,1245,6140,0,0,0,1
115,57000,-177984,-22996,200980,-7660,-39,6866,0,0,0,1
116,57500,-155563,-56940,212504,-6989,-1321,7424,0,0,0,1
117,58000,-129313,-89482,218795,-6147,-2571,7799,0,0,0,1
118,58500,-99878,-119821,219698,-5152,-3757,7982,0,0,0,1
119,59000,-67984,-147209,215192,-4031,-4851,7968,0,0,0,1
120,59500,-34416,-170972,205388,-2811,-5826,7758,0,0,0,1
121,60000,0,-80021,80021,-8370,-36611,40465,0,1,0,1
122,60500,14455,-86263,71808,-1071,-40281,37263,0,1,0,1
123,61000,28553,-90381,61828,6253,-42958,33144,0,1,0,1
124,61500,41949,-92273,50325,13424,-44578,28209,0,1,0,1
125,62000,54311,-91894,37582,20264,-45099,22580,0,1,0,1
126,62500,65337,-89252,23915,26605,-44511,16394,0,1,0,1
127,63000,74753,-84412,9658,32291,-42826,9805,0,1,0,1
128,63500,82329,-77493,-4836,37182,-40087,2974,0,1,0,1
129,64000,87878,-68667,-19211,41157,-36361,-3930,0,1,0,1
130,64500,91262,-58149,-33113,44119,-31740,-10737,0,1,0,1
131,65000,92400,-46200,-46200,45995,-26337,-17280,0,1,0,1
132,65500,91262,-33113,-58149,46738,-20285,-23397,0,1,0,1
133,66000,87878,-19211,-68667,46330,-13734,-28939,0,1,0,1
134,66500,82329,-4836,-77493,44781,-6845,-33767,0,1,0,1
135,67000,74753,9658,-84412,42130,213,-37765,0,1,0,1
136,67500,65337,23915,-89252,38441,7265,-40832,0,1,0,1
137,68000,54311,37582,-91894,33806,14139,-42894,0,1,0,1
138,68500,41949,50325,-92273,28339,20664,-43899,0,1,0,1
139,69000,28553,61828,-90381,22173,26681,-43824,0,1,0,1
140,69500,14455,71808,-86263,15462,32041,-42670,0,1,0,1
141,70000,0,80021,-80021,8370,36611,-40465,0,1,0,1
142,70500,-14455,86263,-71808,1071,40281,-37263,0,1,0,1
143,71000,-28553,90381,-61828,-6253,42958,-33144,0,1,0,1
144,71500,-41949,92273,-50325,-13424,44578,-28209,0,1,0,1
145,72000,-54311,91894,-37582,-20264,45099,-22580,0,1,0,1
146,72500,-65337,89252,-23915,-26605,44511,-16394,0,1,0,1
147,73000,-74753,84412,-9658,-32291,42826,-9805,0,1,0,1
148,73500,-82329,77493,4836,-37182,40087,-2974,0,1,0,1
149,74000,-87878,68667,19211,-41157,36361,3930,0,1,0,1
150,74500,-91262,58149,33113,-44119,31740,10737,0,1,0,1
151,75000,-92400,46200,46200,-45995,26337,17280,0,1,0,1
152,75500,-91262,33113,58149,-46738,20285,23397,0,1,0,1
153,76000,-87878,19211,68667,-46330,13734,28939,0,1,0,1
154,76500,-82329,4836,77493,-44781,6845,33767,0,1,0,1
155,77000,-74753,-9658,84412,-42130,-213,37765,0,1,0,1
156,77500,-65337,-23915,89252,-38441,-7265,40832,0,1,0,1
157,78000,-54311,-37582,91894,-33806,-14139,42894,0,1,0,1
158,78500,-41949,-50325,92273,-28339,-20664,43899,0,1,0,1
159,79000,-28553,-61828,90381,-22173,-26681,43824,0,1,0,1
160,79500,-14455,-71808,86263,-15462,-32041,42670,0,1,0,1
161,80000,0,-80021,80021,-8370,-36611,40465,0,1,0,1
162,80500,14455,-86263,71808,-1071,-40281,37263,0,1,0,1
163,81000,28553,-90381,61828,6253,-42958,33144,0,1,0,1
164,81500,41949,-92273,50325,13424,-44578,28209,0,1,0,1
165,82000,54311,-91894,37582,20264,-45099,22580,1,1,0,1
166,82500,65337,-89252,23915,26605,-44511,16394,1,1,0,1
167,83000,74753,-84412,9658,32291,-42826,9805,1,1,0,1
168,83500,82329,-77493,-4836,37182,-40087,2974,1,1,0,1
169,84000,87878,-68667,-19211,41157,-36361,-3930,1,1,0,1
170,84500,91262,-58149,-33113,44119,-31740,-10737,1,1,0,1
171,85000,92400,-46200,-46200,45995,-26337,-17280,1,1,0,1
172,85500,91262,-33113,-58149,46738,-20285,-23397,1,1,0,1
173,86000,87878,-19211,-68667,46330,-13734,-28939,1,1,0,0
174,86500,82329,-4836,-77493,44781,-6845,-33767,1,1,0,0
175,87000,74753,9658,-84412,42130,213,-37765,1,1,0,0
176,87500,65337,23915,-89252,38441,7265,-40832,1,1,0,0
177,88000,54311,37582,-91894,33806,14139,-42894,1,1,0,0
178,88500,41949,50325,-92273,28339,20664,-43899,1,1,0,0
179,89000,28553,61828,-90381,22173,26681,-43824,1,1,0,0
180,89500,14455,71808,-86263,15462,32041,-42670,1,1,0,0
181,90000,0,80021,-80021,8370,36611,-40465,1,1,0,0
182,90500,-14455,86263,-71808,1071,40281,-37263,1,1,0,0
183,91000,-28553,90381,-61828,-6253,42958,-33144,1,1,0,0
184,91500,-41949,92273,-50325,-13424,44578,-28209,1,1,0,0
185,92000,-54311,91894,-37582,-20264,45099,-22580,1,1,0,0
186,92500,-65337,89252,-23915,-26605,44511,-16394,1,1,0,0
187,93000,-74753,84412,-9658,-32291,42826,-9805,1,1,0,0
188,93500,-82329,77493,4836,-37182,40087,-2974,1,1,0,0
189,94000,-87878,68667,19211,-41157,36361,3930,1,1,0,0
190,94500,-91262,58149,33113,-44119,31740,10737,1,1,0,0
191,95000,-220000,110000,110000,-10453,5986,3927,1,1,0,0
192,95500,-217291,78841,138450,-10622,4610,5318,1,1,0,0
193,96000,-209232,45741,163492,-10530,3121,6577,1,1,0,0
194,96500,-196021,11514,184508,-10178,1556,7674,1,1,0,0
195,97000,-177984,-22996,200980,-9575,-48,8583,1,1,0,0
196,97500,-155563,-56940,212504,-8737,-1651,9280,1,1,0,0
197,98000,-129313,-89482,218795,-7683,-3213,9749,1,1,0,0
198,98500,-99878,-119821,219698,-6441,-4696,9977,1,1,0,0
199,99000,-67984,-147209,215192,-5039,-6064,9960,1,1,0,0
200,99500,-34416,-170972,205388,-3514,-7282,9698,1,1,0,0
201,100000,0,-190526,190526,-1902,-8321,9197,1,1,0,0
202,100500,34416,-205388,170972,-244,-9155,8469,1,1,0,0
203,101000,67984,-215192,147209,1421,-9763,7533,1,1,0,0
204,101500,99878,-219698,119821,3051,-10131,6411,1,1,0,0
205,102000,129313,-218795,89482,4605,-10250,5132,1,1,0,0
206,102500,155563,-212504,56940,6047,-10116,3726,1,1,0,0
207,103000,177984,-200980,22996,7339,-9733,2228,1,1,0,0
208,103500,196021,-184508,-11514,8450,-9111,676,1,1,0,0
209,104000,209232,-163492,-45741,9354,-8264,-893,1,1,0,0
210,104500,217291,-138450,-78841,10027,-7214,-2440,1,1,0,0
211,105000,220000,-110000,-110000,10453,-5986,-3927,1,1,0,0
212,105500,217291,-78841,-138450,10622,-4610,-5318,1,1,0,0
213,106000,209232,-45741,-163492,10530,-3121,-6577,1,1,0,0
214,106500,196021,-11514,-184508,10178,-1556,-7674,1,1,0,0
215,107000,177984,22996,-200980,9575,48,-8583,1,1,0,0
216,107500,155563,56940,-212504,8737,1651,-9280,1,1,0,0
217,108000,129313,89482,-218795,7683,3213,-9749,1,1,0,0
218,108500,99878,119821,-219698,6441,4696,-9977,1,1,0,0
